timestamp,src_mac,dst_mac,ethertype,frame_size_bytes
2025-06-22 19:28:30,40:00:40:01:cb:08,45:00:00:54:71:0c,0x0800,118
2025-06-22 19:28:30,40:00:40:01:cb:08,45:00:00:54:71:0c,0x0800,118
2025-06-22 19:28:30,00:00:3f:01:cd:0a,45:00:00:54:b0:0a,0x0800,84
2025-06-22 19:28:30,00:00:3f:01:cd:0a,45:00:00:54:b0:0a,0x0800,84
2025-06-22 19:28:31,40:00:40:01:ca:f8,45:00:00:54:71:1c,0x0800,118
2025-06-22 19:28:31,40:00:40:01:ca:f8,45:00:00:54:71:1c,0x0800,118
2025-06-22 19:28:31,00:00:3f:01:b9:3e,45:00:00:54:c3:d6,0x0800,84
2025-06-22 19:28:31,00:00:3f:01:b9:3e,45:00:00:54:c3:d6,0x0800,84
2025-06-22 19:28:32,40:00:40:01:ca:be,45:00:00:54:71:56,0x0800,118
2025-06-22 19:28:32,40:00:40:01:ca:be,45:00:00:54:71:56,0x0800,118
2025-06-22 19:28:33,00:00:3f:01:33:0c,45:00:00:54:4a:09,0x0800,84
2025-06-22 19:28:33,00:00:3f:01:33:0c,45:00:00:54:4a:09,0x0800,84
2025-06-22 19:28:33,40:00:40:01:ca:5c,45:00:00:54:71:b8,0x0800,118
2025-06-22 19:28:33,40:00:40:01:ca:5c,45:00:00:54:71:b8,0x0800,118
2025-06-22 19:28:33,00:00:3f:01:fb:26,45:00:00:54:81:ee,0x0800,84
2025-06-22 19:28:33,00:00:3f:01:fb:26,45:00:00:54:81:ee,0x0800,84
2025-06-22 19:28:34,40:00:40:01:ca:49,45:00:00:54:71:cb,0x0800,118
2025-06-22 19:28:34,40:00:40:01:ca:49,45:00:00:54:71:cb,0x0800,118
2025-06-22 19:28:34,00:00:3f:01:1b:98,45:00:00:54:61:7d,0x0800,84
2025-06-22 19:28:34,00:00:3f:01:1b:98,45:00:00:54:61:7d,0x0800,84
2025-06-22 19:28:35,40:00:40:01:ca:18,45:00:00:54:71:fc,0x0800,118
2025-06-22 19:28:35,40:00:40:01:ca:18,45:00:00:54:71:fc,0x0800,118
2025-06-22 19:28:36,00:00:3f:01:4b:15,45:00:00:54:32:00,0x0800,84
2025-06-22 19:28:36,00:00:3f:01:4b:15,45:00:00:54:32:00,0x0800,84
2025-06-22 19:28:36,40:00:40:01:c9:c4,45:00:00:54:72:50,0x0800,118
2025-06-22 19:28:36,40:00:40:01:c9:c4,45:00:00:54:72:50,0x0800,118
2025-06-22 19:28:37,00:00:3f:01:29:a4,45:00:00:54:53:71,0x0800,84
2025-06-22 19:28:37,00:00:3f:01:29:a4,45:00:00:54:53:71,0x0800,84
2025-06-22 19:28:37,40:00:40:01:c9:81,45:00:00:54:72:93,0x0800,118
2025-06-22 19:28:37,40:00:40:01:c9:81,45:00:00:54:72:93,0x0800,118
2025-06-22 19:28:38,00:00:3f:01:83:9c,45:00:00:54:f9:78,0x0800,84
2025-06-22 19:28:38,00:00:3f:01:83:9c,45:00:00:54:f9:78,0x0800,84
2025-06-22 19:28:38,40:00:40:01:c9:43,45:00:00:54:72:d1,0x0800,118
